fold,shots,mean,point_lcb,robust_lcb,margin_lcb,pass
1,10000,0.5737154832804707,0.5363879970294897,0.5152588808384799,0.29525888083847984,true
3,10000,0.5636083548873823,0.5261803455113292,0.5057977493496224,0.2857977493496223,true
5,10000,0.5933305036641844,0.5566325570612543,0.5347833691772172,0.31478336917721716,true
